1	5:30 AM ↑ (55°)	9:03 PM ↑ (305°)	15:33:08	−0:41	2:59 AM	11:34 PM	4:04 AM	10:30 PM	4:53 AM	9:40 PM	1:17 PM (68.1°)	94.505
2	5:31 AM ↑ (55°)	9:03 PM ↑ (305°)	15:32:22	−0:46	3:01 AM	11:33 PM	4:05 AM	10:29 PM	4:54 AM	9:40 PM	1:17 PM (68.0°)	94.507
3	5:31 AM ↑ (56°)	9:03 PM ↑ (304°)	15:31:32	−0:50	3:02 AM	11:32 PM	4:05 AM	10:29 PM	4:54 AM	9:40 PM	1:17 PM (68.0°)	94.508
4	5:32 AM ↑ (56°)	9:03 PM ↑ (304°)	15:30:37	−0:54	3:03 AM	11:31 PM	4:06 AM	10:28 PM	4:55 AM	9:40 PM	1:17 PM (67.9°)	94.509
5	5:33 AM ↑ (56°)	9:02 PM ↑ (304°)	15:29:39	−0:58	3:04 AM	11:30 PM	4:07 AM	10:28 PM	4:56 AM	9:39 PM	1:18 PM (67.8°)	94.509
6	5:33 AM ↑ (56°)	9:02 PM ↑ (304°)	15:28:36	−1:02	3:06 AM	11:29 PM	4:08 AM	10:27 PM	4:57 AM	9:39 PM	1:18 PM (67.7°)	94.510
7	5:34 AM ↑ (56°)	9:02 PM ↑ (304°)	15:27:29	−1:06	3:07 AM	11:28 PM	4:09 AM	10:26 PM	4:57 AM	9:38 PM	1:18 PM (67.6°)	94.509
8	5:35 AM ↑ (56°)	9:01 PM ↑ (304°)	15:26:19	−1:10	3:08 AM	11:27 PM	4:10 AM	10:26 PM	4:58 AM	9:38 PM	1:18 PM (67.5°)	94.509
9	5:36 AM ↑ (56°)	9:01 PM ↑ (303°)	15:25:04	−1:14	3:10 AM	11:26 PM	4:11 AM	10:25 PM	4:59 AM	9:37 PM	1:18 PM (67.4°)	94.508
10	5:36 AM ↑ (57°)	9:00 PM ↑ (303°)	15:23:46	−1:18	3:11 AM	11:24 PM	4:12 AM	10:24 PM	5:00 AM	9:36 PM	1:18 PM (67.2°)	94.506
11	5:37 AM ↑ (57°)	9:00 PM ↑ (303°)	15:22:24	−1:21	3:13 AM	11:23 PM	4:13 AM	10:23 PM	5:01 AM	9:36 PM	1:19 PM (67.1°)	94.504
12	5:38 AM ↑ (57°)	8:59 PM ↑ (303°)	15:20:59	−1:25	3:15 AM	11:21 PM	4:14 AM	10:22 PM	5:02 AM	9:35 PM	1:19 PM (67.0°)	94.502
13	5:39 AM ↑ (57°)	8:58 PM ↑ (303°)	15:19:29	−1:29	3:16 AM	11:20 PM	4:16 AM	10:21 PM	5:03 AM	9:34 PM	1:19 PM (66.8°)	94.499
14	5:40 AM ↑ (58°)	8:58 PM ↑ (302°)	15:17:57	−1:32	3:18 AM	11:18 PM	4:17 AM	10:20 PM	5:04 AM	9:34 PM	1:19 PM (66.7°)	94.495
15	5:41 AM ↑ (58°)	8:57 PM ↑ (302°)	15:16:21	−1:36	3:20 AM	11:17 PM	4:18 AM	10:19 PM	5:05 AM	9:33 PM	1:19 PM (66.5°)	94.491
16	5:42 AM ↑ (58°)	8:56 PM ↑ (302°)	15:14:41	−1:39	3:22 AM	11:15 PM	4:19 AM	10:18 PM	5:06 AM	9:32 PM	1:19 PM (66.3°)	94.486
17	5:42 AM ↑ (58°)	8:55 PM ↑ (302°)	15:12:58	−1:42	3:23 AM	11:14 PM	4:21 AM	10:17 PM	5:07 AM	9:31 PM	1:19 PM (66.2°)	94.481
18	5:43 AM ↑ (59°)	8:55 PM ↑ (301°)	15:11:12	−1:46	3:25 AM	11:12 PM	4:22 AM	10:16 PM	5:08 AM	9:30 PM	1:19 PM (66.0°)	94.475
19	5:44 AM ↑ (59°)	8:54 PM ↑ (301°)	15:09:23	−1:49	3:27 AM	11:10 PM	4:23 AM	10:15 PM	5:09 AM	9:29 PM	1:19 PM (65.8°)	94.469
20	5:45 AM ↑ (59°)	8:53 PM ↑ (301°)	15:07:30	−1:52	3:29 AM	11:08 PM	4:25 AM	10:13 PM	5:10 AM	9:28 PM	1:19 PM (65.6°)	94.462
21	5:46 AM ↑ (59°)	8:52 PM ↑ (300°)	15:05:35	−1:55	3:31 AM	11:07 PM	4:26 AM	10:12 PM	5:11 AM	9:27 PM	1:20 PM (65.5°)	94.454
22	5:47 AM ↑ (60°)	8:51 PM ↑ (300°)	15:03:37	−1:58	3:33 AM	11:05 PM	4:27 AM	10:11 PM	5:12 AM	9:26 PM	1:20 PM (65.3°)	94.446
23	5:48 AM ↑ (60°)	8:50 PM ↑ (300°)	15:01:36	−2:00	3:35 AM	11:03 PM	4:29 AM	10:09 PM	5:14 AM	9:25 PM	1:20 PM (65.1°)	94.438
24	5:50 AM ↑ (60°)	8:49 PM ↑ (299°)	14:59:32	−2:03	3:37 AM	11:01 PM	4:30 AM	10:08 PM	5:15 AM	9:24 PM	1:20 PM (64.8°)	94.429
25	5:51 AM ↑ (61°)	8:48 PM ↑ (299°)	14:57:26	−2:06	3:39 AM	10:59 PM	4:32 AM	10:07 PM	5:16 AM	9:23 PM	1:20 PM (64.6°)	94.420
26	5:52 AM ↑ (61°)	8:47 PM ↑ (299°)	14:55:17	−2:08	3:41 AM	10:57 PM	4:33 AM	10:05 PM	5:17 AM	9:21 PM	1:20 PM (64.4°)	94.410
27	5:53 AM ↑ (61°)	8:46 PM ↑ (298°)	14:53:06	−2:11	3:43 AM	10:55 PM	4:34 AM	10:04 PM	5:18 AM	9:20 PM	1:20 PM (64.2°)	94.401
28	5:54 AM ↑ (62°)	8:45 PM ↑ (298°)	14:50:52	−2:13	3:45 AM	10:53 PM	4:36 AM	10:02 PM	5:20 AM	9:19 PM	1:20 PM (64.0°)	94.390
29	5:55 AM ↑ (62°)	8:44 PM ↑ (298°)	14:48:35	−2:16	3:47 AM	10:51 PM	4:37 AM	10:01 PM	5:21 AM	9:18 PM	1:20 PM (63.7°)	94.380
30	5:56 AM ↑ (62°)	8:42 PM ↑ (297°)	14:46:17	−2:18	3:49 AM	10:49 PM	4:39 AM	9:59 PM	5:22 AM	9:16 PM	1:20 PM (63.5°)	94.369
31	5:57 AM ↑ (63°)	8:41 PM ↑ (297°)	14:43:56	−2:20	3:51 AM	10:47 PM	4:40 AM	9:57 PM	5:23 AM	9:15 PM	1:19 PM (63.2°)	94.358
