1	7:33 AM ↑ (114°)	5:21 PM ↑ (247°)	9:47:45	+2:33	5:52 AM	7:02 PM	6:27 AM	6:27 PM	7:02 AM	5:52 PM	12:27 PM (28.0°)	91.598
2	7:32 AM ↑ (113°)	5:22 PM ↑ (247°)	9:50:21	+2:35	5:51 AM	7:03 PM	6:26 AM	6:29 PM	7:01 AM	5:53 PM	12:27 PM (28.3°)	91.611
3	7:31 AM ↑ (113°)	5:24 PM ↑ (247°)	9:52:59	+2:37	5:50 AM	7:04 PM	6:25 AM	6:30 PM	7:00 AM	5:55 PM	12:27 PM (28.6°)	91.625
4	7:29 AM ↑ (112°)	5:25 PM ↑ (248°)	9:55:38	+2:39	5:49 AM	7:05 PM	6:23 AM	6:31 PM	6:58 AM	5:56 PM	12:27 PM (28.9°)	91.639
5	7:28 AM ↑ (112°)	5:27 PM ↑ (248°)	9:58:20	+2:41	5:48 AM	7:07 PM	6:22 AM	6:32 PM	6:57 AM	5:57 PM	12:27 PM (29.2°)	91.654
6	7:27 AM ↑ (111°)	5:28 PM ↑ (249°)	10:01:03	+2:43	5:47 AM	7:08 PM	6:21 AM	6:34 PM	6:56 AM	5:59 PM	12:27 PM (29.5°)	91.669
7	7:26 AM ↑ (111°)	5:29 PM ↑ (249°)	10:03:48	+2:44	5:46 AM	7:09 PM	6:20 AM	6:35 PM	6:55 AM	6:00 PM	12:27 PM (29.8°)	91.685
8	7:24 AM ↑ (111°)	5:31 PM ↑ (250°)	10:06:34	+2:46	5:45 AM	7:10 PM	6:19 AM	6:36 PM	6:54 AM	6:02 PM	12:27 PM (30.1°)	91.701
9	7:23 AM ↑ (110°)	5:32 PM ↑ (250°)	10:09:22	+2:47	5:44 AM	7:12 PM	6:18 AM	6:38 PM	6:52 AM	6:03 PM	12:27 PM (30.5°)	91.717
10	7:21 AM ↑ (110°)	5:34 PM ↑ (251°)	10:12:11	+2:49	5:42 AM	7:13 PM	6:16 AM	6:39 PM	6:51 AM	6:04 PM	12:27 PM (30.8°)	91.734
11	7:20 AM ↑ (109°)	5:35 PM ↑ (251°)	10:15:02	+2:50	5:41 AM	7:14 PM	6:15 AM	6:40 PM	6:50 AM	6:06 PM	12:27 PM (31.1°)	91.752
12	7:19 AM ↑ (109°)	5:37 PM ↑ (252°)	10:17:54	+2:51	5:40 AM	7:16 PM	6:14 AM	6:41 PM	6:48 AM	6:07 PM	12:27 PM (31.4°)	91.769
13	7:17 AM ↑ (108°)	5:38 PM ↑ (252°)	10:20:47	+2:53	5:38 AM	7:17 PM	6:12 AM	6:43 PM	6:47 AM	6:08 PM	12:27 PM (31.8°)	91.787
14	7:16 AM ↑ (108°)	5:39 PM ↑ (253°)	10:23:41	+2:54	5:37 AM	7:18 PM	6:11 AM	6:44 PM	6:45 AM	6:10 PM	12:27 PM (32.1°)	91.806
15	7:14 AM ↑ (107°)	5:41 PM ↑ (253°)	10:26:36	+2:55	5:36 AM	7:19 PM	6:10 AM	6:45 PM	6:44 AM	6:11 PM	12:27 PM (32.4°)	91.824
16	7:13 AM ↑ (107°)	5:42 PM ↑ (254°)	10:29:33	+2:56	5:34 AM	7:21 PM	6:08 AM	6:47 PM	6:43 AM	6:12 PM	12:27 PM (32.8°)	91.843
17	7:11 AM ↑ (106°)	5:44 PM ↑ (254°)	10:32:30	+2:57	5:33 AM	7:22 PM	6:07 AM	6:48 PM	6:41 AM	6:14 PM	12:27 PM (33.1°)	91.862
